"date","approx_percentage_new_positive_tests","approx_percentage_total_positve_tests","tests_per_case","percentage_vaccinated","percentage_fully_vaccinated","percentage_new_vaccinated","population_density","percentage_population_over_65","gdp_per_capita","percentage_cardiovascular_death","diabetes_prevalence","hospital_beds_per_100","life_expectancy","human_development_index","stringency_index","percentage_avg_new_deaths_by_country","percentage_total_deaths","perecentage_new_deaths"
40,0.00554397462567126,1.34100901724289,42,3.72303733920405,1.20619746393879,0.212481487056371,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0128142237161321,0
41,0.00407429145464541,1.28920793297908,43,3.78127888840399,1.20848958564576,0.0605336709069113,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0128142237161321,0
42,0.00620628950977112,1.29541422248885,43.5,3.79362385885728,1.20908517632552,0.0129405611330517,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0129225129306346,0.000108289214502525
43,0.00906929390739612,1.30448351639625,44.4,3.90676803981,1.21758587966397,0.121644884291169,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.012994705740303,7.21928096683498e-05
44,0.00897327747053721,1.37017346849271,42.1,4.14310925046176,1.23866618008713,0.257421511074918,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0130488503475542,5.41446072512624e-05
45,0.00971489615605775,1.43697892583597,39.4,4.40327408830408,1.26566629090309,0.287164948658279,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0130849467523884,3.60964048341749e-05
46,0.00881338844532424,1.44579231428129,39.3,4.73124602262739,1.29019379798791,0.352499441408135,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0130849467523884,0
47,0.00752166055013087,1.51114566740267,38,4.98635736379292,1.31497397990658,0.279891523084192,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0131029949548055,1.80482024170875e-05
48,0.00575259379741037,1.57501924840788,36.9,5.19784619971635,1.37058049155362,0.267095347570477,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0131029949548055,0
52,0.0104624707483759,1.55818736849629,39,5.76746551620205,1.39516214324569,0.350496090939838,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0133556697886447,5.41446072512624e-05
53,0.0107425608016867,1.62886021270168,36.8,6.26420619132755,1.43887488949988,0.540453421379684,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0133917661934789,3.60964048341749e-05
54,0.00859063753109254,1.63745085023277,37.1,6.52882893516689,1.46058687700764,0.286334731347093,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0133917661934789,0
55,0.00510155903982119,1.76384506484539,35.1,6.6936090232349,1.46416042108622,0.168353632146592,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0133917661934789,0
56,0.00936986867045029,1.77321493351584,34.2,6.93910067251212,1.48107158675103,0.262402814942035,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0135361518128156,0.0001443856193367
59,0.0127206257383971,2.0583965291141,30,7.68032229757948,1.50958774657003,0.389263629731742,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0137888266466548,9.02410120854373e-05
60,0.00170761262349031,2.43435805612197,25.8,8.0978674604988,1.52005570397194,0.428013120321229,18.136,0.000383127240909933,40585.721,0.153507,5.76,0.328,81.91,0.938,52.31,4.85045439959225e-05,0.0138429712539061,5.41446072512624e-05
12,0.00552570186709157,0.690460811109525,51.7,0.771261326812405,1.91882303999902e-05,0.0477690995807755,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0522015808031733,0.000191882303999902
15,0.00576012447788825,0.69967857795257,53.3,0.895917665605941,0.0102848914943947,0.082087249651158,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0529403276735729,0.000287823455999853
16,0.00525490796557171,0.668108297604848,54.5,1.03776665883787,0.0159646076927918,0.147528709430324,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0531993687839728,0.000259041110399867
17,0.00508670393788539,0.673195001542734,54.2,1.18647544443779,0.0216922944671889,0.154436472374321,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0534392216639726,0.000239852879999877
